treated,untreated,weight,estimate,type
2015,99999,0.10188636854033965,-2.955076772052783,Treated vs Untreated
2015,2016,0.0029810071898031753,-0.5040833010090213,Both Treated
2015,2018,9.34919636498835e-4,-2.376355947633417,Both Treated
2015,2019,0.00873147910144912,-0.8988325747358887,Both Treated
2014,99999,0.6480916242238045,-1.750305695861569,Treated vs Untreated
2014,2015,0.029417465370305755,-0.9356171388195288,Both Treated
2014,2016,0.03508032035061996,-1.8016916941130767,Both Treated
2014,2018,0.007071392593552777,-2.1754629665035794,Both Treated
2014,2019,0.06025357896369405,0.04965367730119974,Both Treated
2016,99999,0.0662435436660205,-2.760832905154806,Treated vs Untreated
2016,2018,4.810031041305684e-4,-1.9974541601241953,Both Treated
2016,2019,0.005168481999465001,-1.2450694089784353,Both Treated
2018,99999,0.005787497630974037,-3.0046819597267427,Treated vs Untreated
2018,2019,2.9086247810091267e-4,-0.5247792720922518,Both Treated
2019,99999,0.027580455151241048,-2.461318512010282,Treated vs Untreated
