GEO_ID,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
1001,53255,53899,53773,53682,52475,51281,53099,55317,58786,58731,57982,62660
1003,50147,51321,50706,50221,50183,50254,51365,52562,55962,58320,61756,64346
1005,33219,34041,31889,32911,35634,32964,33956,33368,34186,32525,34990,36422
1007,41770,40506,36824,36447,37984,38678,39776,43404,45340,47542,51721,54277
1009,45549,45404,45192,44145,44409,45813,46212,47412,48695,49358,48922,52830
1011,31602,31955,34500,32033,34804,31938,29335,29655,32152,37785,33866,29063
1013,30659,31273,30752,29918,31571,32229,34315,36326,39109,40688,44850,45236
1015,38407,39467,40093,39962,40919,41703,41954,43686,45197,47255,50128,50977
1017,31467,32186,32181,32402,32835,34177,36027,37342,39872,42289,43875,47232
1019,40690,37833,36241,34907,34983,36296,38925,40041,41014,41919,42509,43475
1021,39486,40418,40834,41250,41785,41627,42594,43501,45182,47468,52141,56243
1023,31076,32188,35123,33941,34325,33536,32622,32122,34884,35892,36634,38581
1025,27439,29668,30954,29357,30951,32011,32735,33827,36127,37404,37345,44108
1027,35595,35410,34556,34002,35286,35327,38815,37287,41225,40845,42678,45163
1029,36077,38785,37244,38019,37008,38056,36316,37396,40188,44741,46320,48333
1031,42253,42065,44626,43768,45558,46729,47872,49821,53155,55637,56799,59034
1033,39610,40247,40158,39077,39914,40576,43786,45477,47558,48065,47962,52017
1035,26944,27977,27064,24658,24433,24900,27609,30434,33177,37837,35444,37986
1037,35560,37191,37425,37277,32340,31212,31910,34792,38301,38990,43571,50013
1039,33852,33544,35321,35869,36256,36444,37313,39467,40601,42189,42566,46186
1041,35140,38041,37309,36275,37349,36022,37557,38937,39812,43163,42611,43103
1043,38567,38703,39244,38847,39415,38971,39297,40997,42558,44918,48388,52690
1045,43353,45491,45247,44889,44473,45028,44093,44711,45960,47214,45644,50052
1047,26029,26909,26178,26519,26494,27306,28136,30065,31602,33845,33317,34957
1049,35065,36853,36853,37851,37977,38192,38248,38842,39233,40440,42267,44037
1051,53128,54831,55514,54766,54159,53555,53398,54981,59347,60891,62324,67597
1053,31927,31638,31075,30687,31422,32330,32334,35026,35000,36275,35558,38464
1055,36422,37772,37660,38013,38467,39220,40478,42064,44023,44637,44934,46984
1057,34560,33378,33090,33838,33144,34680,36205,36541,37458,39856,41469,43960
1059,33942,35831,37235,36415,35450,35372,36138,39501,40459,43514,41174,43633
1061,34140,35237,33618,35625,36268,36024,36519,39293,38142,41732,41569,43581
1063,22222,23004,23777,24226,22170,20541,21339,20954,21804,24145,26688,28826
1065,29299,29236,29409,30051,30839,32714,33351,34679,30571,34046,30793,32294
1067,38379,39948,40680,41650,42926,41997,41045,45569,48610,50017,51715,55870
1069,41022,41766,41828,40948,41077,41571,41945,42803,45496,47580,49069,50222
1071,36312,36383,37059,37634,36874,37745,38422,39281,39816,41769,42578,43785
1073,45244,45750,45415,45429,45239,45610,47220,49321,51979,53901,55088,58330
1075,33887,34711,35271,36028,36021,35450,34298,36016,36756,38364,42688,43324
1077,39345,39702,40701,42844,42703,43125,43657,44888,46265,48094,48428,50000
1079,40516,40009,39526,38551,40356,40003,42339,43779,44515,44886,47125,51712
1081,40894,42320,43189,43542,43641,44570,45056,47564,48056,51463,52930,57191
1083,46682,47199,48197,48619,49461,49570,51115,52831,56460,59686,64270,70736
1085,29714,27905,28023,26230,25678,25876,27914,29785,30833,30036,33634,31961
1087,27544,29355,27957,30724,30254,30738,32390,32308,32074,33370,35450,39303
1089,55851,57453,58242,58434,58203,57993,60150,61318,63417,65449,66887,71153
1091,32940,35165,34515,35079,33714,32042,30713,32255,32809,33241,33029,35379
1093,32769,31799,31970,32888,33819,32299,34074,35719,35392,35930,40978,44551
