Obesity; Total (Total); Adults Aged 20+ Years; Age-Adjusted Percentage; U.S. Counties; 2011
Data downloaded on 1-June-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Oglala Lakota County,South Dakota,46102,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Kusilvak Census Area,Alaska,02158,No Data,No Data,No Data
Logan County,Colorado,08075,14.7,12.1,17.3
Clay County,Illinois,17025,14.8,10.3,20.8
Mchenry County,North Dakota,38049,14.9,12.6,17.5
Teton County,Wyoming,56039,14.9,11.1,19.6
Lincoln County,West Virginia,54043,15,12.3,18.1
Calhoun County,Illinois,17013,15.1,10.3,21.2
Edwards County,Illinois,17047,15.2,10.7,21.6
Fayette County,Illinois,17051,15.2,10.3,20.9
Hamilton County,Illinois,17065,15.2,9.8,21.5
Lee County,Illinois,17103,15.2,10.5,21.3
Montgomery County,Illinois,17135,15.2,10.4,21.3
Perry County,Illinois,17145,15.3,10.6,21.3
Schuyler County,Illinois,17169,15.3,10,22.7
Erath County,Texas,48143,15.3,10.6,21.2
Medina County,Texas,48325,15.3,9.7,22.6
Willacy County,Texas,48489,15.3,10,21.9
Young County,Texas,48503,15.3,10.4,21.5
Echols County,Georgia,13101,15.4,10,21.7
Bond County,Illinois,17005,15.4,10,22.4
Brown County,Illinois,17009,15.4,10.7,21.7
Carroll County,Illinois,17015,15.4,10.5,21.9
Cass County,Illinois,17017,15.4,10.4,21.1
Clark County,Illinois,17023,15.4,10.4,22.2
De Witt County,Illinois,17039,15.4,10.7,21.7
Edgar County,Illinois,17045,15.4,10.3,21.3
Gallatin County,Illinois,17059,15.4,10.3,21.7
Greene County,Illinois,17061,15.4,10.2,21.5
Massac County,Illinois,17127,15.4,10.8,21.6
Menard County,Illinois,17129,15.4,10.5,21.5
Putnam County,Illinois,17155,15.4,9.6,21.8
Scott County,Illinois,17171,15.4,10.1,21.3
Stark County,Illinois,17175,15.4,10.3,21.3
Wayne County,Illinois,17191,15.4,10.5,21.2
Santa Fe County,New Mexico,35049,15.4,12.8,18.1
Bosque County,Texas,48035,15.4,9.7,22
Kendall County,Texas,48259,15.4,10.5,21.4
Pike County,Georgia,13231,15.5,10.5,21.6
Towns County,Georgia,13281,15.5,10.3,21.8
Cumberland County,Illinois,17035,15.5,10,21.7
Hardin County,Illinois,17069,15.5,10.3,22.6
Henderson County,Illinois,17071,15.5,10.5,21.6
Pope County,Illinois,17151,15.5,10.4,22
Wabash County,Illinois,17185,15.5,10.1,21.9
Carson County,Texas,48065,15.5,10.4,21
Culberson County,Texas,48109,15.5,10.3,22.7
Frio County,Texas,48163,15.5,10.4,20.7
Hudspeth County,Texas,48229,15.5,10.5,22.5
Karnes County,Texas,48255,15.5,10.1,21.5
Oldham County,Texas,48359,15.5,9.7,22.2
Rains County,Texas,48379,15.5,10.5,21.9
Rockwall County,Texas,48397,15.5,9.8,21.1
Union County,Georgia,13291,15.6,10.4,21.7
Johnson County,Illinois,17087,15.6,10.3,22.9
Moultrie County,Illinois,17139,15.6,10.2,21.8
Pike County,Illinois,17149,15.6,10.1,21.9
Shelby County,Illinois,17173,15.6,9.9,21.9
Union County,Illinois,17181,15.6,10.7,21.3
Armstrong County,Texas,48011,15.6,10,22.2
Brewster County,Texas,48043,15.6,10.2,22.5
Comanche County,Texas,48093,15.6,10,22.3
Edwards County,Texas,48137,15.6,10.6,22
Foard County,Texas,48155,15.6,9.5,22.4
Hamilton County,Texas,48193,15.6,9.8,22
Irion County,Texas,48235,15.6,10.9,22
Jim Hogg County,Texas,48247,15.6,10.3,23.1
Kimble County,Texas,48267,15.6,10.6,20.9
Live Oak County,Texas,48297,15.6,10.4,22.9
Mcculloch County,Texas,48307,15.6,10.4,21.9
Mason County,Texas,48319,15.6,10.8,21.6
Nolan County,Texas,48353,15.6,10.8,21.7
Ochiltree County,Texas,48357,15.6,11.1,23.1
Parmer County,Texas,48369,15.6,10.3,21.8
Reagan County,Texas,48383,15.6,10.5,22
Roberts County,Texas,48393,15.6,10.2,21.5
Runnels County,Texas,48399,15.6,10.5,22.3
San Patricio County,Texas,48409,15.6,10.6,21.4
Schleicher County,Texas,48413,15.6,10.4,23
Sherman County,Texas,48421,15.6,10.5,22.2
Sutton County,Texas,48435,15.6,10,22.4
Throckmorton County,Texas,48447,15.6,10.3,21.8
Zavala County,Texas,48507,15.6,10.5,21.9
Bryan County,Georgia,13029,15.7,10.1,22.5
Dawson County,Georgia,13085,15.7,10.7,21.8
Glascock County,Georgia,13125,15.7,10.7,21.9
Crawford County,Illinois,17033,15.7,10.2,21.6
Jackson County,Illinois,17077,15.7,11,21.9
Baylor County,Texas,48023,15.7,10.2,22.7
Colorado County,Texas,48089,15.7,10.6,23.2
Crane County,Texas,48103,15.7,10.5,22.4
Dallam County,Texas,48111,15.7,11.1,21.1
Dewitt County,Texas,48123,15.7,10.1,22.8
Dimmit County,Texas,48127,15.7,11,22.4
Donley County,Texas,48129,15.7,10.6,22.4
Eastland County,Texas,48133,15.7,10.7,22.4
Fisher County,Texas,48151,15.7,10.4,23.3
Franklin County,Texas,48159,15.7,10.5,22.5
Goliad County,Texas,48175,15.7,10.2,22.9
Hardeman County,Texas,48197,15.7,10.6,21.9
Jeff Davis County,Texas,48243,15.7,10.4,21.9
Kent County,Texas,48263,15.7,10.1,21.9
Lamar County,Texas,48277,15.7,10.4,21.5
Lampasas County,Texas,48281,15.7,10.5,23
Real County,Texas,48385,15.7,10.5,22.8
Refugio County,Texas,48391,15.7,10.3,22.4
Scurry County,Texas,48415,15.7,10.1,22.2
Somervell County,Texas,48425,15.7,10.8,22.7
Sterling County,Texas,48431,15.7,10.8,22
Terrell County,Texas,48443,15.7,10,22.1
Wheeler County,Texas,48483,15.7,10.4,22.3
Banks County,Georgia,13011,15.8,10.7,22.3
Jasper County,Georgia,13159,15.8,10.5,22.8
Jeff Davis County,Georgia,13161,15.8,10.9,21.8
Pierce County,Georgia,13229,15.8,10.3,22.5
Jasper County,Illinois,17079,15.8,10,22.5
Jo Daviess County,Illinois,17085,15.8,10.8,22.2
Morgan County,Illinois,17137,15.8,10.8,22.6
White County,Illinois,17193,15.8,10.7,22.1
Atascosa County,Texas,48013,15.8,10.3,22.2
Borden County,Texas,48033,15.8,10.3,22
Brooks County,Texas,48047,15.8,10,21.8
Coke County,Texas,48081,15.8,10.8,21.9
Coleman County,Texas,48083,15.8,10.5,22
Crockett County,Texas,48105,15.8,10.7,22
Crosby County,Texas,48107,15.8,10.8,22.2
Dickens County,Texas,48125,15.8,11,21.4
Duval County,Texas,48131,15.8,10.4,22.1
Hansford County,Texas,48195,15.8,10.8,22.8
Hartley County,Texas,48205,15.8,10.6,22.2
Hemphill County,Texas,48211,15.8,10.8,21.7
Lamb County,Texas,48279,15.8,10.5,22
Lipscomb County,Texas,48295,15.8,10.9,22.1
Loving County,Texas,48301,15.8,10.5,21.8
Martin County,Texas,48317,15.8,10.6,22.1
Mills County,Texas,48333,15.8,10.5,22
Motley County,Texas,48345,15.8,10.1,22.6
Presidio County,Texas,48377,15.8,10.6,21.9
San Jacinto County,Texas,48407,15.8,10.6,22.3
Shackelford County,Texas,48417,15.8,10.7,21.9
Stonewall County,Texas,48433,15.8,10.3,22.9
Swisher County,Texas,48437,15.8,10.3,22
Uvalde County,Texas,48463,15.8,11,21.8
Wilbarger County,Texas,48487,15.8,10.4,22.4
Winkler County,Texas,48495,15.8,10.4,22.6
Douglas County,Colorado,08035,15.9,13.4,18.7
Heard County,Georgia,13149,15.9,10.5,22.6
Douglas County,Illinois,17041,15.9,10.5,21.7
Mcdonough County,Illinois,17109,15.9,10.4,22.4
Marshall County,Illinois,17123,15.9,10.4,22.5
Warren County,Illinois,17187,15.9,11,22.2
Bailey County,Texas,48017,15.9,10.6,22.8
Blanco County,Texas,48031,15.9,10.3,22.2
Callahan County,Texas,48059,15.9,10.8,21.4
Childress County,Texas,48075,15.9,10.6,22.3
Deaf Smith County,Texas,48117,15.9,10.2,22.4
