"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1901_C01_001E","Households!!Estimate!!Total"
"S1901_C01_001EA","Annotation of Households!!Estimate!!Total"
"S1901_C01_001M","Households!!Margin of Error!!Total"
"S1901_C01_001MA","Annotation of Households!!Margin of Error!!Total"
"S1901_C02_001E","Families!!Estimate!!Total"
"S1901_C02_001M","Families!!Margin of Error!!Total"
"S1901_C02_001MA","Annotation of Families!!Margin of Error!!Total"
"S1901_C02_001EA","Annotation of Families!!Estimate!!Total"
"S1901_C03_001E","Married-couple families!!Estimate!!Total"
"S1901_C03_001M","Married-couple families!!Margin of Error!!Total"
"S1901_C03_001MA","Annotation of Married-couple families!!Margin of Error!!Total"
"S1901_C03_001EA","Annotation of Married-couple families!!Estimate!!Total"
"S1901_C04_001E","Nonfamily households!!Estimate!!Total"
"S1901_C04_001M","Nonfamily households!!Margin of Error!!Total"
"S1901_C04_001MA","Annotation of Nonfamily households!!Margin of Error!!Total"
"S1901_C04_001EA","Annotation of Nonfamily households!!Estimate!!Total"
"S1901_C01_002E","Households!!Estimate!!Less than $10,000"
"S1901_C01_002EA","Annotation of Households!!Estimate!!Less than $10,000"
"S1901_C01_002M","Households!!Margin of Error!!Less than $10,000"
"S1901_C01_002MA","Annotation of Households!!Margin of Error!!Less than $10,000"
"S1901_C02_002E","Families!!Estimate!!Less than $10,000"
"S1901_C02_002M","Families!!Margin of Error!!Less than $10,000"
"S1901_C02_002MA","Annotation of Families!!Margin of Error!!Less than $10,000"
"S1901_C02_002EA","Annotation of Families!!Estimate!!Less than $10,000"
"S1901_C03_002E","Married-couple families!!Estimate!!Less than $10,000"
"S1901_C03_002M","Married-couple families!!Margin of Error!!Less than $10,000"
"S1901_C03_002MA","Annotation of Married-couple families!!Margin of Error!!Less than $10,000"
"S1901_C03_002EA","Annotation of Married-couple families!!Estimate!!Less than $10,000"
"S1901_C04_002E","Nonfamily households!!Estimate!!Less than $10,000"
"S1901_C04_002M","Nonfamily households!!Margin of Error!!Less than $10,000"
"S1901_C04_002MA","Annotation of Nonfamily households!!Margin of Error!!Less than $10,000"
"S1901_C04_002EA","Annotation of Nonfamily households!!Estimate!!Less than $10,000"
"S1901_C01_003E","Households!!Estimate!!$10,000 to $14,999"
"S1901_C01_003EA","Annotation of Households!!Estimate!!$10,000 to $14,999"
"S1901_C01_003M","Households!!Margin of Error!!$10,000 to $14,999"
"S1901_C01_003MA","Annotation of Households!!Margin of Error!!$10,000 to $14,999"
"S1901_C02_003E","Families!!Estimate!!$10,000 to $14,999"
"S1901_C02_003EA","Annotation of Families!!Estimate!!$10,000 to $14,999"
"S1901_C02_003M","Families!!Margin of Error!!$10,000 to $14,999"
"S1901_C02_003MA","Annotation of Families!!Margin of Error!!$10,000 to $14,999"
"S1901_C03_003E","Married-couple families!!Estimate!!$10,000 to $14,999"
"S1901_C03_003EA","Annotation of Married-couple families!!Estimate!!$10,000 to $14,999"
"S1901_C03_003M","Married-couple families!!Margin of Error!!$10,000 to $14,999"
"S1901_C03_003MA","Annotation of Married-couple families!!Margin of Error!!$10,000 to $14,999"
"S1901_C04_003E","Nonfamily households!!Estimate!!$10,000 to $14,999"
"S1901_C04_003EA","Annotation of Nonfamily households!!Estimate!!$10,000 to $14,999"
"S1901_C04_003M","Nonfamily households!!Margin of Error!!$10,000 to $14,999"
"S1901_C04_003MA","Annotation of Nonfamily households!!Margin of Error!!$10,000 to $14,999"
"S1901_C01_004E","Households!!Estimate!!$15,000 to $24,999"
"S1901_C01_004EA","Annotation of Households!!Estimate!!$15,000 to $24,999"
"S1901_C01_004M","Households!!Margin of Error!!$15,000 to $24,999"
"S1901_C01_004MA","Annotation of Households!!Margin of Error!!$15,000 to $24,999"
"S1901_C02_004E","Families!!Estimate!!$15,000 to $24,999"
"S1901_C02_004EA","Annotation of Families!!Estimate!!$15,000 to $24,999"
"S1901_C02_004M","Families!!Margin of Error!!$15,000 to $24,999"
"S1901_C02_004MA","Annotation of Families!!Margin of Error!!$15,000 to $24,999"
"S1901_C03_004E","Married-couple families!!Estimate!!$15,000 to $24,999"
"S1901_C03_004EA","Annotation of Married-couple families!!Estimate!!$15,000 to $24,999"
