https://www.kff.org/wp-content/uploads/sites/2/2013/09/412630-opting-in-medicaid.pdf
State	Male_Share	Male_Number	Female_Share	Female_Number	Parents_Share	Parents_Number	Adults_Without_Dependent_Children_Share	Adults_Without_Dependent_Children_Number
United States	53.0%	7,979	47.0%	7,081	17.6%	2,650	82.4%	12,411
Alabama	51.3%	165	48.7%	156	24.4%**	78	75.6%**	243
Alaska	54.9%	23	45.1%	19	12.8%**	5	87.2%**	36
Arizona	49.3%*	44	50.7%*	45	25.7%**	23	74.3%**	66
Arkansas	51.5%	112	48.5%	106	28.7%**	63	71.3%**	155
California	54.3%**	1,017	45.7%**	856	9.2%**	172	90.8%**	1,701
Colorado	56.2%**	126	43.8%**	98	9.8%**	22	90.2%**	203
Connecticut	58.0%**	51	42.0%**	37	0.8%**	1	99.2%**	87
Delaware	57.7%	5	42.3%	4	24.5%	2	75.5%	7
District of Columbia	60.4%*	11	39.6%*	7	---	---	100.0%**	17
Florida	52.7%	682	47.3%	613	17.2%	223	82.8%	1,072
Georgia	50.0%**	342	50.0%**	342	22.7%**	155	77.3%**	529
Hawaii	61.4%**	23	38.6%**	14	3.8%**	1	96.2%**	36
Idaho	53.3%	58	46.7%	51	32.6%**	35	67.4%**	73
Illinois	58.0%**	303	42.0%**	219	0.5%**	2	99.5%**	519
Indiana	52.7%	197	47.3%	177	24.2%**	91	75.8%**	284
Iowa	54.6%	58	45.4%	48	19.0%	20	81.0%	86
Kansas	52.4%	74	47.6%	67	22.4%**	32	77.6%**	110
Kentucky	51.7%	149	48.3%	139	19.6%*	56	80.4%*	232
Louisiana	46.7%**	154	53.3%**	176	25.1%**	83	74.9%**	247
Maine	56.5%	26	43.5%	20	0.7%**	<1	99.3%**	45
Maryland	57.9%**	96	42.1%**	70	0.9%**	2	99.1%**	165
Massachusetts	61.4%**	54	38.6%**	34	2.3%**	2	97.7%**	86
Michigan	56.1%**	316	43.9%**	247	16.2%*	91	83.8%*	472
Minnesota	60.9%**	79	39.1%**	51	0.2%**	<1	99.8%**	129
Mississippi	50.7%*	117	49.3%*	114	22.1%**	51	77.9%**	180
Missouri	50.6%**	178	49.4%**	173	24.8%**	87	75.2%**	264
Montana	51.6%	30	48.4%	29	24.7%**	15	75.3%**	44
Nebraska	54.0%	42	46.0%	36	22.5%**	17	77.5%**	60
Nevada	52.3%	85	47.7%	78	15.7%	26	84.3%	137
New Hampshire	52.2%	27	47.8%	24	19.5%	10	80.5%	41
New Jersey	54.2%	166	45.8%	140	15.4%**	47	84.6%**	260
New Mexico	52.4%	67	47.6%	61	16.9%	22	83.1%	106
New York	52.8%	90	47.2%	80	3.5%**	6	96.5%**	164
North Carolina	52.8%	310	47.2%	277	22.3%**	131	77.7%**	456
North Dakota	49.7%	12	50.3%	12	16.8%	4	83.2%	20
Ohio	55.7%**	322	44.3%**	256	10.3%**	60	89.7%**	518
Oklahoma	51.9%	117	48.1%	108	23.5%**	53	76.5%**	172
Oregon	52.7%	133	47.3%	119	20.0%**	50	80.0%**	201
Pennsylvania	53.7%	280	46.3%	241	16.4%	86	83.6%	435
Rhode Island	57.9%*	22	42.1%*	16	0.3%**	<1	99.7%**	38
South Carolina	52.9%	157	47.1%	140	11.9%**	35	88.1%**	262
South Dakota	50.4%	20	49.6%	20	24.1%*	10	75.9%*	31
Tennessee	55.9%**	202	44.1%**	159	11.9%**	43	88.1%**	318
Texas	48.3%**	845	51.7%**	903	32.5%**	568	67.5%**	1,180
Utah	56.6%**	60	43.4%**	46	15.3%	16	84.7%	89
Vermont	##	##	##	##	##	##	##	##
Virginia	50.7%**	174	49.3%**	169	20.3%**	70	79.7%**	273
Washington	56.6%**	175	43.4%**	134	15.2%**	47	84.8%**	262
West Virginia	49.3%**	64	50.7%**	66	24.6%**	32	75.4%**	99
Wisconsin	61.1%**	111	38.9%**	70	0.1%**	<1	99.9%**	181
Wyoming	48.3%	12	51.8%	13	22.7%	6	77.3%	19
